"","gene_id","gene_name","seq_name","gene_biotype","description"
"11487","ENSDARG00000034941","","18","protein_coding","NULL"
"11488","ENSDARG00000017126","ilvbl","18","protein_coding","ilvB (bacterial acetolactate synthase)-like [Source:ZFIN;Acc:ZDB-GENE-040426-1623]"
"11489","ENSDARG00000078983","FAM118B","18","protein_coding","family with sequence similarity 118 member B [Source:HGNC Symbol;Acc:HGNC:26110]"
"11490","ENSDARG00000061124","SRPRA","18","protein_coding","SRP receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:11307]"
"11491","ENSDARG00000067601","arfgap2","18","protein_coding","ADP-ribosylation factor GTPase activating protein 2 [Source:ZFIN;Acc:ZDB-GENE-051120-177]"
"11492","ENSDARG00000102234","","18","protein_coding","NULL"
"11493","ENSDARG00000058202","pex16","18","protein_coding","peroxisomal biogenesis factor 16 [Source:ZFIN;Acc:ZDB-GENE-050626-49]"
"11494","ENSDARG00000098482","","18","antisense","NULL"
"11495","ENSDARG00000107054","5S_rRNA","18","rRNA","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"11496","ENSDARG00000017058","large2","18","protein_coding","LARGE xylosyl- and glucuronyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-050419-253]"
"11497","ENSDARG00000116947","5S_rRNA","18","rRNA","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"11498","ENSDARG00000117394","","18","lincRNA","NULL"
"11499","ENSDARG00000068242","","18","protein_coding","NULL"
"11500","ENSDARG00000054978","KIFC3","18","protein_coding","kinesin family member C3 [Source:HGNC Symbol;Acc:HGNC:6326]"
"11501","ENSDARG00000007990","wt1b","18","protein_coding","WT1 transcription factor b [Source:ZFIN;Acc:ZDB-GENE-050420-319]"
"11502","ENSDARG00000094920","","18","processed_transcript","NULL"
"11503","ENSDARG00000013931","eif3m","18","protein_coding","eukaryotic translation initiation factor 3, subunit M [Source:ZFIN;Acc:ZDB-GENE-040426-2643]"
"11504","ENSDARG00000030753","prrg4","18","protein_coding","proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane) [Source:ZFIN;Acc:ZDB-GENE-050417-112]"
"11505","ENSDARG00000074750","QSER1","18","protein_coding","glutamine and serine rich 1 [Source:HGNC Symbol;Acc:HGNC:26154]"
"11506","ENSDARG00000055043","depdc7a","18","protein_coding","DEP domain containing 7, paralog a [Source:ZFIN;Acc:ZDB-GENE-060512-176]"
"11507","ENSDARG00000018904","cstf3","18","protein_coding","cleavage stimulation factor, 3' pre-RNA, subunit 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1997]"
"11508","ENSDARG00000117489","","18","lincRNA","NULL"
"11509","ENSDARG00000088030","rpl35a","18","protein_coding","ribosomal protein L35a [Source:ZFIN;Acc:ZDB-GENE-040718-190]"
"11510","ENSDARG00000061233","abcc5","18","protein_coding","ATP-binding cassette, sub-family C (CFTR/MRP), member 5 [Source:ZFIN;Acc:ZDB-GENE-050517-17]"
"11511","ENSDARG00000007813","rnpepl1","18","protein_coding","arginyl aminopeptidase like 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5522]"
"11512","ENSDARG00000103462","DVL3","18","protein_coding","dishevelled segment polarity protein 3 [Source:HGNC Symbol;Acc:HGNC:3087]"
"11513","ENSDARG00000033899","ap2m1b","18","protein_coding","adaptor related protein complex 2 subunit mu 1b [Source:NCBI gene (formerly Entrezgene);Acc:394001]"
"11514","ENSDARG00000009825","mmp23bb","18","protein_coding","matrix metallopeptidase 23bb [Source:ZFIN;Acc:ZDB-GENE-050417-448]"
"11515","ENSDARG00000004492","pcyt1ab","18","protein_coding","phosphate cytidylyltransferase 1A, choline b [Source:ZFIN;Acc:ZDB-GENE-050522-114]"
"11516","ENSDARG00000111942","","18","protein_coding","NULL"
"11517","ENSDARG00000092624","SPTBN4","18","protein_coding","spectrin beta, non-erythrocytic 4 [Source:HGNC Symbol;Acc:HGNC:14896]"
"11518","ENSDARG00000096829","blvrb","18","protein_coding","biliverdin reductase B [Source:ZFIN;Acc:ZDB-GENE-030131-1516]"
"11519","ENSDARG00000097473","sertad3","18","protein_coding","SERTA domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-050327-34]"
"11520","ENSDARG00000007383","kcnk6","18","protein_coding","potassium channel, subfamily K, member 6 [Source:ZFIN;Acc:ZDB-GENE-050309-213]"
"11521","ENSDARG00000097821","","18","antisense","NULL"
"11522","ENSDARG00000094522","","18","protein_coding","NULL"
"11523","ENSDARG00000017246","","18","protein_coding","NULL"
"11524","ENSDARG00000097368","","18","protein_coding","NULL"
"11525","ENSDARG00000068199","PLD3","18","protein_coding","phospholipase D family member 3 [Source:HGNC Symbol;Acc:HGNC:17158]"
"11526","ENSDARG00000012788","foxa3","18","protein_coding","forkhead box A3 [Source:ZFIN;Acc:ZDB-GENE-980526-423]"
"11527","ENSDARG00000005468","irf2bp1","18","protein_coding","interferon regulatory factor 2 binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-050420-389]"
"11528","ENSDARG00000061103","slc19a3b","18","protein_coding","solute carrier family 19 member 3b [Source:ZFIN;Acc:ZDB-GENE-050419-166]"
"11529","ENSDARG00000021462","daw1","18","protein_coding","dynein assembly factor with WDR repeat domains 1 [Source:ZFIN;Acc:ZDB-GENE-050419-255]"
"11530","ENSDARG00000017429","sphkap","18","protein_coding","SPHK1 interactor, AKAP domain containing [Source:NCBI gene (formerly Entrezgene);Acc:100034387]"
"11531","ENSDARG00000082074","5S_rRNA","18","rRNA","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"11532","ENSDARG00000098984","pid1","18","protein_coding","phosphotyrosine interaction domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-050320-72]"
"11533","ENSDARG00000061031","dner","18","protein_coding","delta/notch-like EGF repeat containing [Source:ZFIN;Acc:ZDB-GENE-130502-1]"
"11534","ENSDARG00000105882","","18","protein_coding","NULL"
"11535","ENSDARG00000040319","c5ar1","18","protein_coding","complement C5a receptor 1 [Source:NCBI gene (formerly Entrezgene);Acc:100000959]"
"11536","ENSDARG00000074258","GRAMD1B","18","protein_coding","GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214]"
"11537","ENSDARG00000116487","","18","protein_coding","NULL"
"11538","ENSDARG00000094406","","18","antisense","NULL"
"11539","ENSDARG00000020841","rbm7","18","protein_coding","RNA binding motif protein 7 [Source:ZFIN;Acc:ZDB-GENE-030131-6724]"
"11540","ENSDARG00000041098","BARX2","18","protein_coding","BARX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:956]"
"11541","ENSDARG00000083818","5S_rRNA","18","rRNA","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"11542","ENSDARG00000113833","","18","protein_coding","NULL"
"11543","ENSDARG00000115903","KIRREL3","18","protein_coding","kirre like nephrin family adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:23204]"
"11544","ENSDARG00000117712","","18","lincRNA","NULL"
"11545","ENSDARG00000038191","smtla","18","protein_coding","somatolactin alpha [Source:ZFIN;Acc:ZDB-GENE-060123-2]"
"11546","ENSDARG00000024431","ets1","18","protein_coding","v-ets avian erythroblastosis virus E26 oncogene homolog 1 [Source:ZFIN;Acc:ZDB-GENE-021115-5]"
"11547","ENSDARG00000054632","fli1","18","protein_coding","Fli-1 proto-oncogene, ETS transcription factor [Source:ZFIN;Acc:ZDB-GENE-980526-426]"
"11548","ENSDARG00000114107","5S_rRNA","18","rRNA","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"11549","ENSDARG00000088484","kcnj1a.6","18","protein_coding","potassium inwardly rectifying channel subfamily J member 1a, tandem duplicate 6 [Source:ZFIN;Acc:ZDB-GENE-050420-272]"
"11550","ENSDARG00000090866","kcnj1a.2","18","protein_coding","potassium inwardly rectifying channel subfamily J member 1a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050327-22]"
"11551","ENSDARG00000089060","kcnj1a.5","18","protein_coding","potassium inwardly rectifying channel subfamily J member 1a, tandem duplicate 5 [Source:ZFIN;Acc:ZDB-GENE-050420-120]"
"11552","ENSDARG00000090635","kcnj1a.4","18","protein_coding","potassium inwardly rectifying channel subfamily J member 1a, tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-050420-186]"
"11553","ENSDARG00000086248","kcnj1a.3","18","protein_coding","potassium inwardly rectifying channel subfamily J member 1a, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-050420-256]"
"11554","ENSDARG00000093207","","18","processed_transcript","NULL"
"11555","ENSDARG00000091232","kcnj1a.1","18","protein_coding","potassium inwardly rectifying channel subfamily J member 1a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-031118-55]"
"11556","ENSDARG00000061014","KCNJ5","18","protein_coding","potassium inwardly rectifying channel subfamily J member 5 [Source:HGNC Symbol;Acc:HGNC:6266]"
"11557","ENSDARG00000117008","","18","protein_coding","NULL"
"11558","ENSDARG00000041006","st3gal4","18","protein_coding","ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:ZFIN;Acc:ZDB-GENE-050309-174]"
"11559","ENSDARG00000074371","TIRAP","18","protein_coding","TIR domain containing adaptor protein [Source:HGNC Symbol;Acc:HGNC:17192]"
"11560","ENSDARG00000041011","gemin7","18","protein_coding","gem (nuclear organelle) associated protein 7 [Source:ZFIN;Acc:ZDB-GENE-120409-2]"
"11561","ENSDARG00000103679","bmp16","18","protein_coding","bone morphogenetic protein 16 [Source:ZFIN;Acc:ZDB-GENE-100115-1]"
"11562","ENSDARG00000078458","ppp1r37","18","protein_coding","protein phosphatase 1, regulatory subunit 37 [Source:ZFIN;Acc:ZDB-GENE-050208-7]"
"11563","ENSDARG00000054584","","18","protein_coding","NULL"
"11564","ENSDARG00000105050","SHKBP1","18","protein_coding","SH3KBP1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19214]"
"11565","ENSDARG00000111043","","18","protein_coding","NULL"
"11566","ENSDARG00000015064","","18","protein_coding","NULL"
"11567","ENSDARG00000099137","","18","protein_coding","NULL"
"11568","ENSDARG00000098044","","18","lincRNA","NULL"
"11569","ENSDARG00000092142","","18","lincRNA","NULL"
"11570","ENSDARG00000060927","","18","protein_coding","NULL"
"11571","ENSDARG00000040505","yif1b","18","protein_coding","Yip1 interacting factor homolog B (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-041114-16]"
"11572","ENSDARG00000054363","","18","protein_coding","NULL"
"11573","ENSDARG00000105687","","18","antisense","NULL"
"11574","ENSDARG00000040503","sb:cb81","18","protein_coding","sb:cb81 [Source:ZFIN;Acc:ZDB-GENE-030131-9939]"
"11575","ENSDARG00000039500","si:cabz01090165.1","18","protein_coding","si:cabz01090165.1 [Source:ZFIN;Acc:ZDB-GENE-161017-71]"
"11576","ENSDARG00000012005","mob2b","18","protein_coding","MOB kinase activator 2b [Source:ZFIN;Acc:ZDB-GENE-060616-319]"
"11577","ENSDARG00000077007","ABCC8","18","protein_coding","ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]"
"11578","ENSDARG00000040274","SCAMP5","18","protein_coding","secretory carrier membrane protein 5 [Source:HGNC Symbol;Acc:HGNC:30386]"
"11579","ENSDARG00000054451","loxl1","18","protein_coding","lysyl oxidase-like 1 [Source:ZFIN;Acc:ZDB-GENE-060503-693]"
"11580","ENSDARG00000026247","insyn1","18","protein_coding","inhibitory synaptic factor 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8029]"
"11581","ENSDARG00000096262","","18","antisense","NULL"
"11582","ENSDARG00000003061","cd276","18","protein_coding","CD276 molecule [Source:ZFIN;Acc:ZDB-GENE-070112-452]"
"11583","ENSDARG00000105004","","18","protein_coding","NULL"
"11584","ENSDARG00000040286","ubl7b","18","protein_coding","ubiquitin-like 7b (bone marrow stromal cell-derived) [Source:ZFIN;Acc:ZDB-GENE-040426-1334]"
"11585","ENSDARG00000100342","zgc:158464","18","protein_coding","zgc:158464 [Source:ZFIN;Acc:ZDB-GENE-070112-432]"
"11586","ENSDARG00000100766","ube2q1","18","protein_coding","ubiquitin-conjugating enzyme E2Q family member 1 [Source:ZFIN;Acc:ZDB-GENE-050522-329]"
"11587","ENSDARG00000101677","CHRNB4","18","protein_coding","cholinergic receptor nicotinic beta 4 subunit [Source:HGNC Symbol;Acc:HGNC:1964]"
"11588","ENSDARG00000100991","CHRNA3","18","protein_coding","cholinergic receptor nicotinic alpha 3 subunit [Source:HGNC Symbol;Acc:HGNC:1957]"
"11589","ENSDARG00000104016","","18","protein_coding","NULL"
"11590","ENSDARG00000105281","P2RY1","18","protein_coding","purinergic receptor P2Y1 [Source:HGNC Symbol;Acc:HGNC:8539]"
"11591","ENSDARG00000105740","","18","antisense","NULL"
"11592","ENSDARG00000103032","rap2b","18","protein_coding","RAP2B, member of RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-040426-2818]"
"11593","ENSDARG00000117626","","18","lincRNA","NULL"
"11594","ENSDARG00000117772","","18","lincRNA","NULL"
"11595","ENSDARG00000103369","taldo1","18","protein_coding","transaldolase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-3277]"
"11596","ENSDARG00000089354","tspan4a","18","protein_coding","tetraspanin 4a [Source:ZFIN;Acc:ZDB-GENE-040718-38]"
"11597","ENSDARG00000074431","ddb1","18","protein_coding","damage-specific DNA binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1272]"
"11598","ENSDARG00000103288","PDPR","18","protein_coding","pyruvate dehydrogenase phosphatase regulatory subunit [Source:HGNC Symbol;Acc:HGNC:30264]"
"11599","ENSDARG00000110545","","18","protein_coding","NULL"
"11600","ENSDARG00000117740","","18","lincRNA","NULL"
"11601","ENSDARG00000102443","SHANK2","18","protein_coding","SH3 and multiple ankyrin repeat domains 2 [Source:HGNC Symbol;Acc:HGNC:14295]"
"11602","ENSDARG00000011777","CTTN","18","protein_coding","cortactin [Source:HGNC Symbol;Acc:HGNC:3338]"
"11603","ENSDARG00000099803","","18","protein_coding","NULL"
"11604","ENSDARG00000112691","st7","18","protein_coding","suppression of tumorigenicity 7 [Source:NCBI gene (formerly Entrezgene);Acc:678587]"
"11605","ENSDARG00000039960","ST7","18","protein_coding","suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]"
"11606","ENSDARG00000098674","ppfia1","18","protein_coding","PTPRF interacting protein alpha 1 [Source:ZFIN;Acc:ZDB-GENE-080214-4]"
"11607","ENSDARG00000112431","","18","protein_coding","NULL"
"11608","ENSDARG00000076623","","19","protein_coding","NULL"
"11609","ENSDARG00000098197","","19","antisense","NULL"
"11610","ENSDARG00000101559","","19","protein_coding","NULL"
"11611","ENSDARG00000098912","","19","antisense","NULL"
"11612","ENSDARG00000059373","dnajc8","19","protein_coding","DnaJ (Hsp40) homolog, subfamily C, member 8 [Source:ZFIN;Acc:ZDB-GENE-030131-66]"
"11613","ENSDARG00000014569","hnrnpr","19","protein_coding","heterogeneous nuclear ribonucleoprotein R [Source:ZFIN;Acc:ZDB-GENE-040426-2766]"
"11614","ENSDARG00000067975","atp5if1a","19","protein_coding","ATP synthase inhibitory factor subunit 1a [Source:NCBI gene (formerly Entrezgene);Acc:100037369]"
"11615","ENSDARG00000078529","ADGRB1","19","protein_coding","adhesion G protein-coupled receptor B1 [Source:HGNC Symbol;Acc:HGNC:943]"
"11616","ENSDARG00000098377","tnfrsf11b","19","protein_coding","tumor necrosis factor receptor superfamily, member 11b [Source:NCBI gene (formerly Entrezgene);Acc:407674]"
"11617","ENSDARG00000103887","","19","protein_coding","NULL"
"11618","ENSDARG00000036924","tatdn1","19","protein_coding","TatD DNase domain containing 1 [Source:NCBI gene (formerly Entrezgene);Acc:100151626]"
"11619","ENSDARG00000036929","rnf139","19","protein_coding","ring finger protein 139 [Source:ZFIN;Acc:ZDB-GENE-080401-4]"
"11620","ENSDARG00000076393","tmem65","19","protein_coding","transmembrane protein 65 [Source:ZFIN;Acc:ZDB-GENE-081022-99]"
"11621","ENSDARG00000020176","","19","protein_coding","NULL"
"11622","ENSDARG00000105003","scn1bb","19","protein_coding","sodium channel, voltage-gated, type I, beta b [Source:ZFIN;Acc:ZDB-GENE-090408-1]"
"11623","ENSDARG00000063713","SYNGAP1","19","protein_coding","synaptic Ras GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:11497]"
"11624","ENSDARG00000094908","lingo4a","19","protein_coding","leucine rich repeat and Ig domain containing 4a [Source:ZFIN;Acc:ZDB-GENE-060503-275]"
"11625","ENSDARG00000036940","ctss1","19","protein_coding","cathepsin S, ortholog 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1583]"
"11626","ENSDARG00000036942","gpd1c","19","protein_coding","glycerol-3-phosphate dehydrogenase 1c [Source:ZFIN;Acc:ZDB-GENE-040426-2576]"
"11627","ENSDARG00000036943","golph3l","19","protein_coding","golgi phosphoprotein 3-like [Source:ZFIN;Acc:ZDB-GENE-051113-168]"
"11628","ENSDARG00000111238","5S_rRNA","19","rRNA","5S ribosomal RNA [Source:RFAM;Acc:RF00001]"
"11629","ENSDARG00000036944","ensaa","19","protein_coding","endosulfine alpha a [Source:ZFIN;Acc:ZDB-GENE-060503-181]"
"11630","ENSDARG00000009779","mcl1a","19","protein_coding","MCL1 apoptosis regulator, BCL2 family member a [Source:ZFIN;Acc:ZDB-GENE-000511-7]"
"11631","ENSDARG00000063718","vps72a","19","protein_coding","vacuolar protein sorting 72 homolog a [Source:ZFIN;Acc:ZDB-GENE-060503-88]"
"11632","ENSDARG00000075592","tnfaip8l2a","19","protein_coding","tumor necrosis factor, alpha-induced protein 8-like 2a [Source:ZFIN;Acc:ZDB-GENE-060616-38]"
"11633","ENSDARG00000002748","sema6d","19","protein_coding","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D [Source:ZFIN;Acc:ZDB-GENE-040426-1933]"
"11634","ENSDARG00000099528","dus3l","19","protein_coding","dihydrouridine synthase 3-like (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-1260]"
"11635","ENSDARG00000086107","","19","protein_coding","NULL"
"11636","ENSDARG00000117245","","19","lincRNA","NULL"
"11637","ENSDARG00000079610","","19","protein_coding","NULL"
"11638","ENSDARG00000042643","FUT9","19","protein_coding","fucosyltransferase 9 [Source:HGNC Symbol;Acc:HGNC:4020]"
"11639","ENSDARG00000042641","cyp51","19","protein_coding","cytochrome P450, family 51 [Source:ZFIN;Acc:ZDB-GENE-040625-2]"
"11640","ENSDARG00000029043","nup42","19","protein_coding","nucleoporin 42 [Source:ZFIN;Acc:ZDB-GENE-040426-2292]"
"11641","ENSDARG00000042637","tert","19","protein_coding","telomerase reverse transcriptase [Source:ZFIN;Acc:ZDB-GENE-080405-1]"
"11642","ENSDARG00000068387","slc6a18","19","protein_coding","solute carrier family 6 member 18 [Source:ZFIN;Acc:ZDB-GENE-080219-9]"
"11643","ENSDARG00000018621","slc6a19a.1","19","protein_coding","solute carrier family 6 member 19a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-070620-2]"
"11644","ENSDARG00000091560","","19","protein_coding","NULL"
"11645","ENSDARG00000063682","","19","protein_coding","NULL"
"11646","ENSDARG00000042620","gstr","19","protein_coding","glutathione S-transferase rho [Source:ZFIN;Acc:ZDB-GENE-090507-1]"
"11647","ENSDARG00000024381","msto1","19","protein_coding","misato mitochondrial distribution and morphology regulator 1 [Source:ZFIN;Acc:ZDB-GENE-030131-6238]"
"11648","ENSDARG00000071250","tmem79a","19","protein_coding","transmembrane protein 79a [Source:ZFIN;Acc:ZDB-GENE-060503-538]"
"11649","ENSDARG00000059354","glmp","19","protein_coding","glycosylated lysosomal membrane protein [Source:ZFIN;Acc:ZDB-GENE-040912-142]"
"11650","ENSDARG00000063690","nrm","19","protein_coding","nurim [Source:ZFIN;Acc:ZDB-GENE-060503-445]"
"11651","ENSDARG00000071251","","19","protein_coding","NULL"
"11652","ENSDARG00000006640","eomesa","19","protein_coding","eomesodermin homolog a [Source:ZFIN;Acc:ZDB-GENE-001228-1]"
"11653","ENSDARG00000059363","TGFBR2","19","protein_coding","transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]"
"11654","ENSDARG00000075606","RNF5","19","protein_coding","ring finger protein 5 [Source:HGNC Symbol;Acc:HGNC:10068]"
"11655","ENSDARG00000102381","slc44a4","19","protein_coding","solute carrier family 44 member 4 [Source:ZFIN;Acc:ZDB-GENE-040426-1371]"
"11656","ENSDARG00000102325","ehmt2","19","protein_coding","euchromatic histone-lysine N-methyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-010501-6]"
"11657","ENSDARG00000058830","zdhhc3b","19","protein_coding","zinc finger DHHC-type palmitoyltransferase 3b [Source:ZFIN;Acc:ZDB-GENE-061110-19]"
"11658","ENSDARG00000103817","","19","protein_coding","NULL"
"11659","ENSDARG00000099747","","19","protein_coding","NULL"
"11660","ENSDARG00000059361","slc39a4","19","protein_coding","solute carrier family 39 member 4 [Source:ZFIN;Acc:ZDB-GENE-060315-8]"
"11661","ENSDARG00000117378","","19","lincRNA","NULL"
"11662","ENSDARG00000100821","scrt1a","19","protein_coding","scratch family zinc finger 1a [Source:ZFIN;Acc:ZDB-GENE-080219-30]"
"11663","ENSDARG00000099753","zgc:63863","19","protein_coding","zgc:63863 [Source:ZFIN;Acc:ZDB-GENE-040426-1278]"
"11664","ENSDARG00000103503","dgat1a","19","protein_coding","diacylglycerol O-acyltransferase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-4600]"
"11665","ENSDARG00000100514","cfap20","19","protein_coding","cilia and flagella associated protein 20 [Source:NCBI gene (formerly Entrezgene);Acc:393784]"
"11666","ENSDARG00000098855","OXSM","19","protein_coding","3-oxoacyl-ACP synthase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26063]"
"11667","ENSDARG00000099138","btr29","19","protein_coding","bloodthirsty-related gene family, member 29 [Source:ZFIN;Acc:ZDB-GENE-090512-2]"
"11668","ENSDARG00000099438","","19","protein_coding","NULL"
"11669","ENSDARG00000104981","SLC45A4","19","protein_coding","solute carrier family 45 member 4 [Source:HGNC Symbol;Acc:HGNC:29196]"
"11670","ENSDARG00000063215","lrrc3b","19","protein_coding","leucine rich repeat containing 3B [Source:ZFIN;Acc:ZDB-GENE-070410-55]"
"11671","ENSDARG00000101445","klhl7","19","protein_coding","kelch-like family member 7 [Source:ZFIN;Acc:ZDB-GENE-130212-1]"
"11672","ENSDARG00000078797","DENND3","19","protein_coding","DENN domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29134]"
"11673","ENSDARG00000100456","PTK2","19","protein_coding","protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]"
"11674","ENSDARG00000021864","rplp1","19","protein_coding","ribosomal protein lateral stalk subunit P1 [Source:ZFIN;Acc:ZDB-GENE-030131-8663]"
"11675","ENSDARG00000021048","clptm1l","19","protein_coding","CLPTM1 like [Source:NCBI gene (formerly Entrezgene);Acc:436653]"
"11676","ENSDARG00000011648","snrpd1","19","protein_coding","small nuclear ribonucleoprotein D1 polypeptide [Source:ZFIN;Acc:ZDB-GENE-020419-14]"
"11677","ENSDARG00000076406","ggcta","19","protein_coding","gamma-glutamylcyclotransferase a [Source:ZFIN;Acc:ZDB-GENE-081104-129]"
"11678","ENSDARG00000079456","","19","protein_coding","NULL"
"11679","ENSDARG00000077855","znrf2a","19","protein_coding","zinc and ring finger 2a [Source:ZFIN;Acc:ZDB-GENE-070820-15]"
"11680","ENSDARG00000074505","mturn","19","protein_coding","maturin, neural progenitor differentiation regulator homolog (Xenopus) [Source:ZFIN;Acc:ZDB-GENE-081104-127]"
"11681","ENSDARG00000100529","","19","protein_coding","NULL"
"11682","ENSDARG00000099596","btd","19","protein_coding","biotinidase [Source:ZFIN;Acc:ZDB-GENE-060825-186]"
"11683","ENSDARG00000086326","","19","protein_coding","NULL"
"11684","ENSDARG00000013828","SNX13","19","protein_coding","sorting nexin 13 [Source:HGNC Symbol;Acc:HGNC:21335]"
"11685","ENSDARG00000030402","twist1a","19","protein_coding","twist family bHLH transcription factor 1a [Source:ZFIN;Acc:ZDB-GENE-000210-6]"
"11686","ENSDARG00000092160","FERD3L","19","protein_coding","Fer3 like bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:16660]"
"11687","ENSDARG00000028222","","19","protein_coding","NULL"
"11688","ENSDARG00000011870","sp8a","19","protein_coding","sp8 transcription factor a [Source:ZFIN;Acc:ZDB-GENE-030131-9849]"
"11689","ENSDARG00000005186","sp4","19","protein_coding","sp4 transcription factor [Source:ZFIN;Acc:ZDB-GENE-031202-3]"
"11690","ENSDARG00000024416","polr1f","19","protein_coding","RNA polymerase I subunit F [Source:NCBI gene (formerly Entrezgene);Acc:402856]"
"11691","ENSDARG00000114159","","19","protein_coding","NULL"
"11692","ENSDARG00000076659","","19","protein_coding","NULL"
"11693","ENSDARG00000101218","","19","protein_coding","NULL"
"11694","ENSDARG00000026762","hycc1","19","protein_coding","hyccin PI4KA lipid kinase complex subunit 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1806]"
"11695","ENSDARG00000078912","","19","protein_coding","NULL"
"11696","ENSDARG00000067717","tomm7","19","protein_coding","translocase of outer mitochondrial membrane 7 homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-060825-115]"
"11697","ENSDARG00000102318","il6","19","protein_coding","interleukin 6 (interferon, beta 2) [Source:ZFIN;Acc:ZDB-GENE-120509-1]"
"11698","ENSDARG00000075271","","19","protein_coding","NULL"
"11699","ENSDARG00000077516","","19","protein_coding","NULL"
"11700","ENSDARG00000110186","CDCP1","19","protein_coding","CUB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:24357]"
"11701","ENSDARG00000099500","CLEC3B","19","protein_coding","C-type lectin domain family 3 member B [Source:HGNC Symbol;Acc:HGNC:11891]"
"11702","ENSDARG00000100060","exosc7","19","protein_coding","exosome component 7 [Source:ZFIN;Acc:ZDB-GENE-050417-47]"
"11703","ENSDARG00000101259","hgh1","19","protein_coding","HGH1 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040718-228]"
"11704","ENSDARG00000096274","","19","protein_coding","NULL"
"11705","ENSDARG00000063627","bop1","19","protein_coding","BOP1 ribosomal biosis factor [Source:NCBI gene (formerly Entrezgene);Acc:777627]"
"11706","ENSDARG00000035695","scxa","19","protein_coding","scleraxis bHLH transcription factor a [Source:ZFIN;Acc:ZDB-GENE-060503-414]"
"11707","ENSDARG00000008818","hsf1","19","protein_coding","heat shock transcription factor 1 [Source:ZFIN;Acc:ZDB-GENE-000616-16]"
"11708","ENSDARG00000078522","si:ch211-80h18.1","19","protein_coding","si:ch211-80h18.1 [Source:ZFIN;Acc:ZDB-GENE-070705-257]"
"11709","ENSDARG00000092300","","19","antisense","NULL"
"11710","ENSDARG00000014222","zgc:86598","19","protein_coding","zgc:86598 [Source:ZFIN;Acc:ZDB-GENE-040625-181]"
"11711","ENSDARG00000035694","stm","19","protein_coding","starmaker [Source:NCBI gene (formerly Entrezgene);Acc:386700]"
"11712","ENSDARG00000092099","si:ch211-133n4.6","19","protein_coding","si:ch211-133n4.6 [Source:ZFIN;Acc:ZDB-GENE-060503-571]"
"11713","ENSDARG00000071224","si:ch211-133n4.4","19","protein_coding","si:ch211-133n4.4 [Source:ZFIN;Acc:ZDB-GENE-030131-898]"
"11714","ENSDARG00000071223","zgc:158445","19","protein_coding","zgc:158445 [Source:ZFIN;Acc:ZDB-GENE-061215-78]"
"11715","ENSDARG00000059254","illr1","19","protein_coding","immune-related, lectin-like receptor 1 [Source:ZFIN;Acc:ZDB-GENE-050311-2]"
"11716","ENSDARG00000092749","","19","protein_coding","NULL"
